FAERS_drug_match,lookup_value
"ANUSOL (BENZYL BENZOATE, BISMUTH OXIDE, BISMUTH SUBGALLATE HYDROCORTISONE ACETATE, PERU BALSAM,ZINC OXIDE)",Cinnamon
ANUSOL (BENZYL BENZOATE/BISMUTH RESORCINOL/BISMUTH SUBGALLATE/PERUVIAN,Cinnamon
"ANUSOL-HC (BALSAM PERU, BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH SU",Cinnamon
ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;,Cinnamon
"ANUSOL-HC (BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH SUBGALLATE, HYD",Cinnamon
ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;HYDROC,Cinnamon
ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;HYDROCORTISONE ACETATE;MYROXYLON BALSAMUM VAR. PEREIRAE BALSAM;RESORCINOL;ZINC OXIDE],Cinnamon
ANUSOL HC (BENZYL BENZOATE (+) BISMUTH OXIDE (+) BISMUTH SUBGALLATE (+,Cinnamon
ANUSOL HC [BENZYL BENZOATE;BISMUTH OXIDE;BISMUTH SUBGALLATE;HYDROCORTI,Cinnamon
"ANUSOL-HC (HYDROCORTISONE ACETATE, RESORCINOL, BENZYL BENZOATE, ZINC O",Cinnamon
"ANUSOL-HC SUPPOSITORIES (BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH S",Cinnamon
"ANUSOL (HYDROCORTISONE ACETATE, BENZYL BENZOATE, BISMUTH OXIDE, BISMUTH SUGALLATE, PERU BALSUM, ZINC OXIDE)",Cinnamon
ASCABIOL [BENZYL BENZOATE],Cinnamon
BENZYL ALCOHOL/BENZYL BENZOATE/BENZYL CINNAMATE/LANOLIN/ZINC OXIDE,Cinnamon
BENZYL ALCOHOL/BENZYL CINNAMATE/BENZYL BENZOATE/ZINC OXIDE/WOOL FAT,Cinnamon
BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;MYROXYLON BALSAMU,Cinnamon
BENZYL BENZOATE/RESORCINOL/BISMUTH SUBGALLATE/BISMUTH HYDROXIDE/ZINC OXIDE/MYROXYLON BALSAMUM VAR. P,Cinnamon
"SUDOCREM (BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL CINNAMATE, LANOLIN,",Cinnamon
"SUDOCREM (BENZYL ALCOHOL, BENZYL CLINNAMATE, BENZYL BENZOATE, ZINC OXIDE, LANOLIN)",Cinnamon
CASSIA,Cinnamon
CASSIA ACUTIFOLIA,Cinnamon
CASSIA ALATA,Cinnamon
CASSIA ALEXANDRINA,Cinnamon
CASSIA ANGUSTIFOLIA,Cinnamon
"CASSIA, DOCUSATE",Cinnamon
CASSIA EXTRACT,Cinnamon
CASSIA FISTULA,Cinnamon
CASSIA FISTULA (+) CORIANDER (+) GLYCYRR,Cinnamon
CASSIA FISTULA/SENNA,Cinnamon
CASSIA OBOVATA,Cinnamon
CASSIA SEED,Cinnamon
